Column1,Column2,Column3
-1.5259088427845455,3.96045052172638,1.2
-1.582745110169074,3.9649866006410366,1.2
-1.6399823543188532,3.968165007221119,1.2
-1.697438529583959,3.969882254207561,1.2
-1.7549315903144702,3.9700348543412978,1.2
-1.812279490860464,3.9685193203632623,1.2
-1.869300185572012,3.965232165014392,1.2
-1.9258116287991955,3.96006990103562,1.2
-1.9816317748920904,3.952929041167882,1.2
-2.0365785782007704,3.943706098152111,1.2
-2.090469993075313,3.9322975847292416,1.2
-2.143123973865797,3.918600013640209,1.2
-2.1943584749222964,3.902509897625946,1.2
-2.243991450594887,3.883923749427392,1.2
-2.291840855233648,3.862738081785476,1.2
-2.337724643188655,3.838849407441136,1.2
-2.3814607688099843,3.8121542391353054,1.2
-2.4228671864477107,3.7825490896089176,1.2
-2.461761850451912,3.74993047160291,1.2
-2.4979627151726653,3.714194897858216,1.2
-2.5312877349600464,3.675238881115767,1.2
-2.5615548641641306,3.632958934116501,1.2
-2.588582057134997,3.587251569601352,1.2
-2.612215966341589,3.538055094185245,1.8
-2.632418036728331,3.4854749899790582,1.8
-2.649178411358513,3.429658532967664,1.8
-2.662487233295429,3.370752999135932,1.8
-2.6723346456023678,3.308905664468732,1.8
-2.6787107913426214,3.2442638049509376,1.8
-2.681605813579486,3.176974696567412,1.8
-2.6810098553762494,3.1071856153030324,1.8
-2.6769130597962043,3.035043837142664,1.8
-2.669305569902642,2.9606966380711826,1.8
-2.6581775287588565,2.8842912940734524,1.8
-2.6435190794281374,2.8059750811343496,1.8
-2.625320364973778,2.7258952752387384,1.8
-2.603571528459069,2.644199152371494,1.8
-2.5782627129473017,2.5610339885174853,1.8
-2.549384061501769,2.476547059661583,1.8
-2.516925717185763,2.3908856417886555,1.8
-2.480877823062573,2.3041970108835748,1.8
-2.441230522195496,2.2166284429312086,1.8
-2.3979739576478183,2.1283272139164318,1.8
-2.351098272482833,2.0394405998241107,1.8
-2.300593609763835,1.950115876639117,1.8
-2.246450112554113,1.8605003203463208,1.8
-2.188688742383396,1.7707627272715922,1.8
-2.127453734647151,1.6811579751047927,1.8
-2.062920143207285,1.5919624618767876,1.8
-1.9952630219257037,1.5034525856184362,1.8
-1.9246574246643071,1.4159047443606032,1.8
-1.8512784052850044,1.3295953361341497,1.8
-1.7753010176496993,1.2448007589699412,1.8
-1.6969003156202938,1.1617974108988367,1.8
-1.6162513530586988,1.080861689951698,1.8
-1.533529183826813,1.0022699941593909,1.8
-1.4489088617865438,0.9262987215527754,1.8
-1.3625654407997931,0.8532242701627148,1.8
-1.2746739747284703,0.7833230380200735,1.8
-1.1854095174344774,0.7168714231557107,1.8
-1.0949471227797192,0.6541458236004893,1.8
-1.0034618446261003,0.595422637385274,1.8
-0.9111287368355274,0.5409782625409254,1.8
-0.8181228532699034,0.4910890970983073,1.8
-0.7246192477911348,0.4460315390882798,1.8
-0.630792974261122,0.4060819865417078,1.8
-0.5368190865417724,0.3715168374894522,1.8
-0.4428726384949932,0.3426124899623759,1.8
-0.349128683982685,0.3196453419913427,1.8
-0.2557461434310291,0.3027924206459125,1.8
-0.1628194035233008,0.2918332691504441,1.8
-0.0704267175070478,0.2864480597679972,1.8
0.0213536613701776,0.2863169647616281,1.8
0.1124434798608309,0.2911201563943955,1.8
0.2027644847173597,0.3005378069293574,1.8
0.2922384226922148,0.3142500886295725,1.8
0.3807870405378484,0.331937173758098,1.8
0.4683320850067112,0.3532792345779918,1.8
0.5547953028512511,0.3779564433523128,1.8
0.6400984408239214,0.4056489723441183,1.8
0.7241632456771727,0.436036993816467,1.8
0.8069114641634574,0.4688006800324165,1.8
0.8882648430352216,0.5036202032550245,1.8
